id,name,anime_count,description
"2725","ахегао","236","Термин, обозначающий странное выражение лица, иногда встречающееся в хентайных играх/аниме/манге. Канонически ахегао включает закатившиеся глаза, открытый рот и высунутый язык. Иногда также называется ""доведённым до беспамятства""."
"8210","ИИ-озвучка","1",""
"2978","стремиться к вершине","108","Это может быть как положительным, так и отрицательным сюжетным приёмом. Персонаж может стремиться стать лучшим альтруистичным способом (например, лучшим целителем, самым образованным мастером), или это может быть довольно банальным и примитивным (например, оспариваемые хулиганы, желающие быть самыми сильными бойцами). Увы, в боевых аниме обычно преобладает последнее."
"7460","мифология айнов","5",""
"4167","воздушный бой","123","Воздушный бой относится к боевому столкновению между летательными аппаратами (или космическими кораблями), часто один на один. Короче говоря: реактивные самолеты, самолеты, ракеты, пулеметы и, возможно, камикадзе или два. Не путать с собачьими драками."
"1996","военно-воздушные силы","166","Военно-воздушные силы, также известные в некоторых странах как авиационная армия или авиационный корпус, в самом широком смысле — это национальная военная организация, которая в первую очередь ведет воздушную войну. Как правило, военно-воздушные силы отвечают за завоевание превосходства в воздухе, проведение стратегических бомбардировок и поддержку наземных сил. Военно-воздушные силы обычно состоят из комбинации истребителей, бомбардировщиков, вертолетов, транспортных самолетов и других летательных аппаратов."
"2927","Акихабара","46","Акихабара — распространенное название района вокруг станции Акихабара в районе Тиёда в Токио, Япония. Вскоре после Второй мировой войны она получила прозвище ""Электрический город Акихабара"" за то, что была крупным торговым центром бытовой электроники и послевоенного черного рынка. В настоящее время Акихабара считается многими центром отаку-культуры и торговым районом для видеоигр, аниме, манги и компьютерных товаров."
"2879","алкоголь","429","Алкоголь (или, более научно, этанол) — одно из старейших в мире психоактивных веществ. Традиционно он встречается в виде напитка, такого как пиво, вино или ликёр, хотя в некоторых контекстах его можно вдыхать для получения аналогичного или опьяняющего эффекта, а некоторые люди предпочитают другой способ употребления алкоголя в виде напитка."
"3457","Приключения Алисы в стране чудес","28","Аниме или эпизод содержит важные элементы романа. Это может означать, что главный герой изображен как Алиса (под другим именем), в сопровождении кого-то, изображающего Белого Кролика (возможно, в человеческом облике). Хотя мир может быть Страной чудес, это не обязательно."
"2202","инопланетянин","568","Это существо или создание родилось в мире, отличном от мира главных героев."
"4831","вторжение инопланетян","104","Вторжение инопланетян или космическое вторжение — это вторжение на Землю внеземного вида, обычно, но не обязательно, разумного и технологически высокоразвитого. Вторжение обычно происходит по таким причинам, как истребление и замещение человеческой жизни, порабощение землян или их использование в пищу, кража ресурсов планеты или просто ее полное уничтожение. Это часто происходит... [далее]"
"3738","инопланетяне, живущие на Земле","63","Возле вас пришелец или улей пришельцев, сливающихся с обществом!"
"2668","школа для мальчиков","22","Частная школа, в которой учатся только ученики мужского пола (могут включать или не включать учителей и другой школьный персонал)."
"3053","аллергия на потенциальных любовных интересов","10","Будет обнаружено, что персонаж реагирует на потенциальных любовных интересов, обычно противоположного пола, как будто у него на них аллергия."
"1279","школа для девочек","174","Эта школа предназначена только для учениц. Хотя там могут быть несколько учителей-мужчин."
"5227","чередующийся стиль анимации","129","Стиль анимации в этом шоу может меняться между сценами, обычно делая аниме экспериментальным. Это может быть формой художественной визуализации."
"2640","альтернативное прошлое","213","Аниме, действие которого происходит в альтернативном прошлом, — это аниме, которое явно не принадлежит ни будущему, ни настоящему и не связано особенно тесно с нашей историей или имеет связи с нашей историей, но только как предпосылка."
"2642","альтернативное настоящее","339","Аниме, подпадающие под категорию альтернативного настоящего, обычно имеют технологию и общество, очень похожие на наши, но с различиями как в истории, так и в культуре, которые иногда совершенно очевидны, но иногда их труднее определить; это иногда может быть очень субъективным."
"1253","амбициозный","26","имеющий сильное желание добиться успеха или достижений; жаждущий власти, денег и т.д."
"4424","американского происхождения","44","Работа, созданная как продолжение/ремейк франшизы или мультсериала американского происхождения. Эти работы полностью оригинальны для Японии, но не имеют корней в японских медиа. См. также: ремейк мультфильма"
"646","американский футбол","5","Американский футбол — это вид игры с мячом, в который играют две команды по 11 игроков в каждой. В него играют мячом, по форме напоминающим яйцо. Вопреки своему названию, на самом деле он не имеет особого отношения к футболу и больше похож на регби, только игроки одеты в тяжелую защитную экипировку из-за страха получить травмы."
"7793","американо-японская совместная постановка","12",""
"2832","Америка","254","Америка, также называемая в совокупности Америкой, включает в себя всю совокупность континентов Северной и Южной Америки. Вместе они составляют большую часть западного полушария Земли и составляют Новый Свет."
"2555","амнезия","271","Персонаж страдает от какой-либо формы амнезии (нарушение или потеря памяти). Это может означать неспособность запоминать новую информацию или неспособность вспомнить старые воспоминания. Поскольку существует много типов памяти, человек может, например, забыть, кто он, но при этом сохранить приобретённые навыки. Амнезия довольно распространена в художественной литературе как сюжетный приём. Фактически, поскольку она позволяет вносить серьёзные изменения в сюжет... [далее]"
"4389","посещение парка развлечений","30","Сюжетный приём: вся команда или её часть посещает парк развлечений."
"5779","анахронизмы","80","Обычаи, события или объекты показаны в период, к которому они не принадлежат, например, реактивные самолеты в средневековой Японии."
"2717","анальный секс","704","Содомия, буггери, секс в задницу, кукурузные дырки или полька в сточной канаве. Называйте это как хотите, но кто-то получает что-то засунутое туда, куда солнце не светит."
"7403","анальная пальпация","106","Анальная пальпация — это ручная стимуляция ануса (мужского или женского) рукой и пальцами другого человека. См. также пальпацию влагалища и мужской эквивалент — дрочку."
"4741","анальное мочеиспускание","10","Акт, при котором человек мочится в задний проход другого человека."
"7005","древние пришельцы","72","Древние пришельцы, сотни, тысячи или миллионы лет назад; пришельцы из другого мира или измерения сыграли значительную роль в истории человечества."
"7080","Древний Рим","4","В историографии Древний Рим — это римская цивилизация от основания города Рима в VIII веке до н. э. до краха Западной Римской империи в V веке н. э., охватывающая Римское царство, Римскую республику и Римскую империю вплоть до падения западной империи. Этот термин иногда используется для обозначения только периодов царства и республики, исключая последующую империю."
"1278","андроид","386","Андроид — это робот или синтетический организм, созданный, чтобы выглядеть и действовать как человек."
"2346","ангел","156","Сверхъестественное существо, считающееся посланником Бога. Их часто изображают в виде людей с парой белых крыльев из перьев, а иногда и с нимбом."
"2844","тоска","1280","Присутствует чувство общего дискомфорта и беспокойства из-за либо незначительных, либо более серьезных причин, часто сопровождаемое депрессией. Предупреждение: может содержать большое количество задумчивости и вздохов. Этимология: ""Angst"" — немецкое слово, означающее страх или тревогу."
"4516","жестокое обращение с животными","154","Насилие над животными. Обществу защиты животных это не понравится."
"3968","животное-протагонист","98","Аниме вращается вокруг животного, обычно общающегося только с помощью типичных звукоподражаний. Животное в основном живет в человеческой семье и регулярно переживает приключения. Это может быть открытие новой комнаты или потеря, свернув не в ту сторону во внешнем мире. Не путать с тегом ""мир животных"". Типичный пример: ""Кошечка Чии""."
"1835","животное-компаньон","123","Они нужны каждому махо-сёдзё аниме, милые маленькие твари, которые должны помогать протагонистам, но на самом деле чаще всего являются бесполезными наблюдателями, используемыми для шуток. Дети их любят, но они также часто могут стать раздражающими."
"5992","животное, превращающееся в оружие","7","Существо, которое кажется обычным животным, на самом деле является чем-то гораздо большим, так как может превращаться в оружие."
"4259","мир животных","61","Все персонажи шоу — говорящие животные, ходящие на двух ногах. Их поведение и одежда могут напоминать человеческие. Они также могут пытаться копировать человеческое общество. В этом мире нет людей."
"4087","Премия Animax","7","Animax Taishou (アニマックス大賞) — это японский конкурс сценариев анимации, организованный японской спутниковой телесетью аниме Animax."
"6614","Animeism","46","Animeism — это японский ночной программный блок, созданный в апреле 2012 года. Он посвящен аниме и транслируется на MBS."
"5408","Anime no Chikara","3","Таймслот для аниме на TV Tokyo."
"6724","Anime no Me","5","Anime no Me был брендом аниме и программным блоком от TMS Entertainment, Shin-Ei Animation, East Japan Marketing & Communications, Inc., Sumitomo Corporation и Asmik-Ace. Он работал с июля 2016 по март 2018. ""Me"" в его названии означает ""глаз"" и отсылает к глазу тайфуна."
"3224","Animerama","3","Один из фильмов Animerama студии Mushi Productions начала 70-х."
"5709","Anisun","7","Часть серии OVA и OAD аниме, выпущенных Shogakukan в рамках их проекта Anisun Sunday Anime Project."
"7169","Антарктика","7","Антарктика — это полярный регион вокруг Южного полюса Земли, включающий континент Антарктиду и близлежащие острова."
"2857","антропоморфизм","544","Антропоморфизм — это приписывание исключительно человеческих характеристик нечеловеческим существам, неодушевленным объектам или природным или сверхъестественным явлениям. Если это животное или объект (за исключением ИИ), и оно говорит и/или делает другие человеческие вещи (одевается), то мы имеем дело с антропоморфизмом. Антропоморфизм больше склоняется к животноподобному виду по сравнению с юдзин, который больше склоняется к человекоподобному виду."
"4398","антигерой","153","Антигерой — это главный персонаж в истории, которому не хватает традиционных героических качеств и атрибутов, таких как идеализм, мужество и мораль. Хотя антигерои иногда могут совершать поступки, которые морально правильны, это не всегда делается по правильным причинам, часто действуя в первую очередь из личных интересов или способами, которые противоречат общепринятым этическим нормам. Главный герой-злодей — это когда ведущий... [далее]"
"7988","антитерроризм","1",""
"2871","антивоенное","164","Аниме изображает безумие войны."
"3615","афродизиак","63","Афродизиак — это вещество, которое при употреблении усиливает либидо."
"4375","археология","10","Археология — это изучение человеческой деятельности путем восстановления и анализа материальной культуры. Археологическая запись состоит из артефактов, архитектуры, биофактов и культурных ландшафтов. Археологи изучают доисторическую и историческую деятельность человека, от разработки первых каменных орудий до последних десятилетий. Археология имеет различные цели, от реконструкции прошлого образа жизни до документирования... [далее]"
"2402","стрельба из лука","29","Стрельба из лука — это искусство, практика или навык стрельбы стрелами из лука. Человек, занимающийся стрельбой из лука, — лучник. Стрельба из лука использовалась для охоты, но на протяжении большей части человеческой истории её основное применение было в боевых действиях. С изобретением огнестрельного оружия стрельба из лука быстро устарела в войне, но на Дальнем Востоке до сих пор считается важным предметом в боевых искусствах, с додзё для стрельбы из лука, существующими... [далее]"
"1291","аристократ","38","Аристократ или дворянин — это член аристократии или дворянства, высшего класса в феодальных обществах. Дворяне могут иметь или не иметь конкретный дворянский титул. Для простоты членов королевской семьи также следует считать дворянством."
"1528","искусственный интеллект","71","В отличие от органических форм жизни и их ""естественного"" интеллекта, ИИ создается/программируется искусственными средствами. Роботы, андроиды или продвинутые компьютеры (вспомните ""HAL 9000"") будут обладать искусственным интеллектом."
"1758","искусственная форма жизни","10",""
"5735","ар-нуво","2","Части этой анимации или её начальной/конечной заставки используют стиль ар-нуво."
"2666","художественная школа","22","Обучение искусству играет важную роль в этом аниме. Художественная школа — это общий термин для любого образовательного учреждения, основное внимание в котором уделяется изобразительному искусству, особенно иллюстрации, живописи, фотографии, скульптуре и графическому дизайну. Этот термин применяется к учреждениям с программами начального, среднего, послесреднего или бакалавриата, а также магистратуры или аспирантуры в этих областях. T... [далее]"
"2834","Азия","3580","Азия — крупнейший и самый густонаселенный континент Земли. Азия занимает площадь 44 579 000 квадратных километров. Континент, который долгое время был домом для большинства человеческого населения, был местом многих первых цивилизаций. Азия известна не только своими большими размерами и населением, но и густыми и крупными поселениями, а также обширными малонаселенными регионами на континенте с населением 4,4 миллиарда человек."
"5793","Три закона робототехники Азимова","15","Автор научной фантастики Айзек Азимов разработал (1942) набор законов, которые он использовал для управления поведением роботов: 1. Робот не может причинить вред человеку или своим бездействием допустить, чтобы человеку был причинён вред. 2. Робот должен повиноваться всем приказам, которые даёт человек, за исключением тех случаев, когда эти приказы противоречат Первому Закону. 3. Робот должен заботиться о своей безопасности в той мере, в которой это не противоречит Первому или Второму Законам."
"4927","аспидоглон","2","Аспидоглон — это легендарное морское существо, по-разному описываемое как большой кит или огромная морская черепаха, а также как гигантское морское чудовище с огромными шипами на гребне спины."
"7615","трение пениса о ягодицы","12","Трение пениса о ягодицы — это непроникающий половой акт, при котором пенис толкается, трётся или скользит по ягодицам."
"5935","девушки, умеющие драться","455","Женские персонажи в аниме очень искусны в каком-либо виде боевых искусств, фехтовании или стрельбе. У них также могут быть суперспособности."
"997","футбол","93","Футбол — это вид спорта, который включает в себя удар по мячу с целью забить гол, в то время как другая команда пытается остановить вас, ударяя мяч в другом направлении, чтобы забить свой гол. В США этот вид спорта известен как соккер; неуместно названный ""американский"" футбол — это что-то вроде регби для малышей."
"4706","астрономия","15","Астрономия — это изучение небесных объектов и процессов, физики, химии и эволюции таких объектов и процессов, а также, в более общем смысле, всех явлений, возникающих за пределами атмосферы Земли. Исторически астрономия включала такие дисциплины, как астрометрия, небесная навигация, наблюдательная астрономия и составление календарей, но в настоящее время профессиональная астрономия часто считается синонимом астрофизики."
"6619","период Асука","10","Период Асука — это период в истории Японии, длившийся с 538 по 710 год (или с 592 по 645 год). Государство Ямато значительно развивалось в период Асука, который назван в честь региона Асука, примерно в 25 км к югу от современного города Нара. Период Асука характеризуется значительными художественными, социальными и политическими преобразованиями. Введение буддизма ознаменовало изменение в японском обществе... [далее]"
"5150","асимметричная война","44","Асимметричная война — это война между конфликтующими группами, относительная военная мощь которых различается или стратегия или тактика которых значительно различаются. Асимметричная война может описывать конфликт, в котором ресурсы двух групп различаются по сути, и в борьбе они взаимодействуют и пытаются использовать слабости друг друга."
"7238","попытка изнасилования","97","Попытка изнасилования — это неудачная попытка изнасилования. Для целей AniDB, как правило, ""неудачной"" попыткой считается та, при которой не произошло ни фелляции, ни проникновения. Решение следует принимать в каждом конкретном случае."
"6997","инцест тётя-племянник","15","Аморальные или незаконные сексуальные отношения между тётей и её племянником."
"2836","Австралия","26","Австралия, официально Австралийский Союз, — это суверенная страна, включающая материковую часть австралийского континента, остров Тасмания и множество более мелких островов. Это самая большая страна в Океании и шестая по площади страна в мире. Соседними странами являются Папуа — Новая Гвинея, Индонезия и Восточный Тимор на севере; Соломоновы острова и Вануату на северо-востоке; и Новая Зеландия на юго-востоке."
"6519","аутофелляция","6","Аутофелляция — это акт сосания собственного пениса."
